artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored)
Jim Reeves,[903609],0.35,0.211,0.241,84.985,-14.075,1,11,0.796,0.00531,0.143,0.0287,0,189613,20,1963,10/8/1963,Guilty
Jim Reeves,[903609],0.417,0.179,0.431,85.578,-16.966,1,2,0.859,0.156,0.0922,0.0287,0,186440,44,1997,2/14/1997,This Is It
Jim Reeves,[903609],0.485,0.0756,0.412,86.277,-21.037,1,7,0.951,0.0208,0.103,0.0303,0,156453,23,1967,10/23/1967,May The Good Lord Bless and Keep You
Jim Reeves,[903609],0.412,0.159,0.467,85.539,-18.374,1,2,0.819,0.0743,0.0961,0.0296,0,185387,16,1966,1966,This Is It
Jim Reeves,[903609],0.39,0.17,0.287,80.883,-17.847,1,5,0.917,0.0083,0.13,0.0296,0,128773,36,1975,6/1/1975,You Belong To Me
Jim Reeves,[903609],0.276,0.28,0.208,83.979,-16.614,1,2,0.687,0.59,0.126,0.0326,0,157173,28,1978,6/1/1978,Dark Moon
Jim Reeves,[903609],0.604,0.298,0.679,110.514,-17.656,1,2,0.864,0.00382,0.264,0.0283,0,122000,35,1978,6/1/1978,Missing Angel
Jim Reeves,[903609],0.388,0.157,0.227,95.965,-15.955,1,9,0.848,2.41E-05,0.309,0.0291,0,168640,43,1997,2/14/1997,Four Walls
Jim Reeves,[903609],0.544,0.378,0.905,82.115,-13.851,1,11,0.781,0,0.127,0.0304,0,129560,20,1966,1966,Snow Flake
Jim Reeves,[903609],0.604,0.453,0.839,94.978,-8.823,1,0,0.714,0.00135,0.365,0.0248,0,108907,19,1963,11/1/1963,Jingle Bells
Jim Reeves,[903609],0.66,0.203,0.497,80.239,-15.873,1,8,0.868,0.0036,0.155,0.0328,0,117453,22,1963,12/17/1963,After Loving You
Jim Reeves,[903609],0.585,0.167,0.351,81.863,-18.216,1,10,0.854,0.000518,0.11,0.0331,0,159013,21,1963,12/17/1963,Just Out of Reach
Jim Reeves,[903609],0.302,0.235,0.405,105.111,-13.683,1,10,0.617,1.38E-05,0.199,0.0307,0,170400,21,1963,12/17/1963,I'd Fight the World
Jim Reeves,[903609],0.272,0.218,0.25,85.02,-14.541,1,7,0.72,0.000145,0.288,0.031,0,156440,20,1963,12/17/1963,The One That Got Away
Jim Reeves,[903609],0.557,0.152,0.457,110.879,-16.91,1,5,0.912,4.41E-06,0.0906,0.0319,0,165453,53,1963,12/17/1963,I Love You Because
Jim Reeves,[903609],0.523,0.232,0.309,96.18,-14.882,1,2,0.572,0.00219,0.104,0.0262,0,170440,36,1966,1966,Distant *****
Jim Reeves,[903609],0.381,0.196,0.439,149.119,-17.192,1,10,0.901,2.54E-06,0.179,0.0401,0,168453,41,1963,12/17/1963,Roses Are Red (My Love)
Jim Reeves,[903609],0.525,0.234,0.559,146.677,-13.728,1,1,0.862,1.76E-05,0.178,0.0276,0,139467,41,1963,10/8/1963,Don't Let Me Cross Over
Jim Reeves,[903609],0.668,0.334,0.461,126.393,-15.212,1,3,0.845,0,0.189,0.0507,0,140693,39,1963,12/17/1963,Memories Are Made of This
Jim Reeves,[903609],0.554,0.186,0.2,81.181,-15.846,1,1,0.909,0.00144,0.11,0.0379,0,138640,55,1997,2/14/1997,He'll Have to Go
Jim Reeves,[903609],0.514,0.197,0.433,96.73,-15.284,1,7,0.745,0.0121,0.2,0.0275,0,142347,37,1963,12/17/1963,Waltzing on Top of the World
Jim Reeves,[903609],0.47,0.314,0.602,104.624,-14.746,1,9,0.838,0.00505,0.0928,0.0307,0,123027,26,1963,10/8/1963,There's a Heartache Following Me
Jim Reeves,[903609],0.434,0.162,0.255,119.42,-15.328,1,9,0.881,0.00432,0.117,0.032,0,174253,29,1963,12/17/1963,When You Are Gone
Jim Reeves,[903609],0.528,0.121,0.38,87.834,-21.213,1,9,0.91,0.00451,0.125,0.0345,0,139733,46,1989,9/21/1989,Am I Losing You
Jim Reeves,[903609],0.512,0.301,0.181,80.955,-11.755,1,1,0.822,0.0237,0.107,0.035,0,139667,43,1992,2/25/1992,He'll Have to Go
Jim Reeves,[903609],0.341,0.252,0.399,81.058,-14.869,1,3,0.725,0.0594,0.287,0.0288,0,152600,52,1997,2/14/1997,Welcome to My World
Jim Reeves,[903609],0.655,0.0968,0.408,75.992,-19.129,1,5,0.918,0.000111,0.103,0.0297,0,142013,49,1995,7/31/1995,Welcome to My World
Jim Reeves,[903609],0.498,0.3,0.499,107.05,-15.313,1,9,0.729,0.399,0.299,0.0298,0,165333,22,1966,1966,Not Until the Next Time
Jim Reeves,[903609],0.492,0.285,0.397,91.506,-12.612,1,10,0.951,0.0139,0.127,0.0267,0,146067,35,1968,3/25/1968,Where Do I Go to Throw a Picture Away
Jim Reeves,[903609],0.421,0.218,0.356,134.76,-17.649,1,0,0.949,0.48,0.091,0.0304,0,159573,40,1975,6/1/1975,**** Skies
Don Williams,[196248],0.478,0.185,0.538,149.704,-20.784,1,7,0.806,0.00314,0.0956,0.032,0,162373,27,1975,1/1/1975,Ghost Story
Don Williams,[196248],0.769,0.271,0.822,135.719,-19.886,1,0,0.588,2.54E-05,0.076,0.0507,0,172360,31,1987,1/1/1987,Rake And Ramblin' Man - Single Version
Don Williams,[196248],0.258,0.144,0.297,172.229,-21.542,1,7,0.907,0.0367,0.11,0.0313,0,158093,26,1975,1/1/1975,The Ties That Bind
Don Williams,[196248],0.781,0.472,0.821,109.572,-9.858,1,7,0.618,9.78E-06,0.0807,0.0317,0,235440,31,1980,1/1/1980,To Be Your Man
Don Williams,[196248],0.58,0.13,0.265,89.435,-20.517,1,11,0.641,0.000149,0.116,0.0277,0,167960,30,1987,1/1/1987,*** Never Knew Me - Single Version
Don Williams,[196248],0.63,0.161,0.346,136.775,-21.137,1,2,0.673,3.26E-06,0.0801,0.0324,0,248867,29,1987,1/1/1987,Maggie's Dream
Don Williams,[196248],0.647,0.321,0.465,113.411,-15.406,1,8,0.697,0.000872,0.131,0.0292,0,192827,24,1975,1/1/1975,Amanda
Don Williams,[196248],0.657,0.271,0.311,128.858,-13.701,1,4,0.831,7.24E-06,0.107,0.0283,0,173773,32,1989,1989,One Good Well
Don Williams,[196248],0.658,0.259,0.338,118.883,-16.95,1,2,0.845,0.00302,0.168,0.0309,0,210293,27,1976,4/5/1976,'Till The Rivers All Run Dry
Don Williams,[196248],0.609,0.214,0.237,123.031,-14.123,1,0,0.925,2.57E-06,0.114,0.0304,0,199440,32,1989,1989,Just as Long as I Have You
Don Williams,[196248],0.646,0.357,0.671,78.928,-14.216,1,7,0.591,0.000655,0.139,0.0365,0,180787,35,1976,4/5/1976,Say It *****
Don Williams,[196248],0.622,0.293,0.59,73.562,-18.392,1,0,0.487,0.000794,0.124,0.0308,0,191040,25,1987,1/1/1987,If Hollywood Don't Need You - Single Version
Don Williams,[196248],0.518,0.204,0.417,76.857,-18.492,1,9,0.923,0.361,0.125,0.0351,0,187053,34,1977,9/13/1977,I'm Just A Country Boy
Don Williams,[196248],0.636,0.309,0.765,79.201,-17.556,1,7,0.424,3.52E-06,0.143,0.0367,0,177333,24,1987,1/1/1987,Say It ***** - Single Version
Don Williams,[196248],0.506,0.135,0.422,76.83,-22.703,1,9,0.827,0.123,0.153,0.0299,0,182600,24,1987,1/1/1987,I'm Just A Country Boy - Single Version
Don Williams,[196248],0.638,0.254,0.614,144.902,-20.71,1,11,0.826,0.305,0.0999,0.0321,0,178067,30,1990,1/1/1990,Goodbye Isn't Really Good At All
Don Williams,[196248],0.632,0.443,0.962,161.591,-18.354,1,0,0.532,0,0.146,0.0387,0,143240,29,1992,1/1/1992,Louisiana ******** *****
Don Williams,[196248],0.916,0.57,0.957,104.415,-13.011,1,4,0.458,0.000721,0.0595,0.0334,0,195347,59,1978,8/23/1978,Tulsa Time
Don Williams,[196248],0.512,0.212,0.51,117.756,-21.426,1,7,0.88,0.00573,0.115,0.0483,0,246440,57,1980,11/20/1980,I Believe In You
Don Williams,[196248],0.526,0.388,0.702,173.82,-17.983,1,2,0.252,0.00137,0.114,0.029,0,249907,56,1981,1/1/1981,"Lord, I Hope This Day Is Good - Single Version"
Don Williams,[196248],0.919,0.542,0.966,110.723,-12.307,1,5,0.322,3.85E-05,0.0671,0.0489,0,151467,53,1978,8/23/1978,It Must Be Love
Don Williams,[196248],0.658,0.325,0.483,107.456,-17.557,1,9,0.712,0.00261,0.158,0.0282,0,255880,50,1979,10/19/1979,Good Ole Boys Like Me
Don Williams,[196248],0.877,0.489,0.929,103.886,-15.244,1,4,0.493,8.05E-06,0.0611,0.0385,0,192800,50,1987,1/1/1987,Tulsa Time
Don Williams,[196248],0.659,0.221,0.56,117.945,-20.219,1,7,0.835,0.000396,0.139,0.0494,0,245573,49,1987,1/1/1987,I Believe In You
